output,nstep_coarse,aexp,z,time
782,26795,0.709119651139523,0.4101992497218847,9.37539530549631
783,26819,0.710074794950414,0.4083023466138269,9.390575695562534
784,26824,0.710273819225768,0.40790772928959584,9.393799324289146
785,26842,0.710987634696669,0.4064942218392211,9.405361110173782
786,26865,0.711951742748474,0.40458958094480124,9.420962644256011
787,26871,0.712200583358807,0.4040988218289616,9.424958872814896
788,26887,0.712875105271277,0.4027702645324678,9.435791283676588
789,26909,0.713797449335562,0.4009576539266839,9.45060356727402
790,26919,0.714175220760645,0.4002166008153185,9.456670346147554
791,26933,0.714752826522545,0.3990850583484298,9.465921570523244
792,26956,0.715696122869398,0.3972410469275136,9.48094123340495
793,26968,0.716206927766052,0.3962445226816469,9.489074538883822
794,26979,0.716649563453413,0.39538213793247734,9.496122418191055
795,27001,0.717563268075757,0.3936053369644119,9.510635927991231
796,27024,0.718492665949919,0.39180265490657473,9.525307935926502
797,27047,0.719449066263611,0.38995246069802136,9.540502317336735
798,27051,0.719611446359581,0.38963881836353154,9.543134684987923
799,27069,0.720369369549863,0.38817673581105994,9.555377284168394
800,27087,0.721145866761986,0.38668200996574487,9.567857507945426
801,27091,0.721319774484281,0.38634768569178046,9.57065263361608
802,27114,0.722282187322689,0.38450043148196444,9.586120979672852
803,27135,0.723169655316685,0.3828013836699047,9.600334646250246
804,27136,0.723203747041335,0.38273619860385555,9.600877887873724
805,27159,0.724152415992152,0.38092475826364924,9.615994649090064
806,27181,0.725094544641633,0.379130497381186,9.63100719252477
807,27203,0.726029537803633,0.3773544297180742,9.645843346730494
808,27223,0.726901780556338,0.3757016790282792,9.659622924344339
809,27225,0.726989345436554,0.37553597762771096,9.661006262938368
810,27247,0.727904158077728,0.3738072367120846,9.67545835411607
811,27269,0.728846144368911,0.3720316801097632,9.690271979629916
812,27270,0.728896611647211,0.3719366835032074,9.691062395705595
813,27291,0.729782768352186,0.37027077558703025,9.705315445456861
814,27314,0.730737742264217,0.3684800197967937,9.720681522465252
815,27319,0.730939215356497,0.3681028175677721,9.7239233398721
816,27336,0.731687145657224,0.36670434342777614,9.735881322404907
817,27358,0.732637180163453,0.36493209336836774,9.75103615345838
818,27367,0.733027537711266,0.3642052290727069,9.757263088005233
819,27379,0.733571205391408,0.363194182992004,9.765935606516672
820,27400,0.734490296902348,0.3614883739341652,9.78051993886242
821,27413,0.735038217109507,0.3604734784164545,9.78918481058709
822,27423,0.735472323205813,0.3596704708630649,9.796049813173669
823,27444,0.736403867440442,0.35795050000993767,9.810781358375785
824,27460,0.737087334619896,0.356691334976857,9.821542305043502
825,27466,0.737360588265868,0.356188567593245,9.825826179823103
826,27487,0.738270373617537,0.35451730928871417,9.840089142386738
827,27508,0.739201543831725,0.35281102744509996,9.854816494599405
828,27509,0.739254331119608,0.3527144284504766,9.855667103396248
829,27530,0.740170188045974,0.3510406338304013,9.870339796591363
